weapon_name,skin_name,pattern,backside_blue,backside_purple,backside_gold,playside_blue,playside_purple,playside_gold
Butterfly Knife,Case Hardened,152,41.63,9.55,48.82,39.51,10.62,49.87
Butterfly Knife,Case Hardened,782,62.36,14.24,23.41,60.77,14.34,24.89
Butterfly Knife,Case Hardened,283,72.99,6.33,20.68,71.02,6.44,22.54
Butterfly Knife,Case Hardened,995,16.92,13.5,69.58,16.81,13.5,69.69
Butterfly Knife,Case Hardened,689,22.4,27.15,50.45,23.39,26.14,50.47
Butterfly Knife,Case Hardened,749,68.58,6.09,25.34,66.6,5.74,27.65
Butterfly Knife,Case Hardened,713,54.21,1.52,44.28,53.72,1.49,44.79
Butterfly Knife,Case Hardened,945,40.59,18.46,40.95,40.55,17.75,41.69
Butterfly Knife,Case Hardened,907,60.66,22.42,16.92,60.78,21.68,17.53
Butterfly Knife,Case Hardened,522,51.82,13.86,34.32,51.33,12.95,35.72
Butterfly Knife,Case Hardened,79,24.74,24.79,50.47,24.96,24.23,50.81
Butterfly Knife,Case Hardened,516,3.99,6.9,89.11,4.66,6.46,88.89
Butterfly Knife,Case Hardened,940,36.7,35.6,27.71,36.57,34.6,28.83
Butterfly Knife,Case Hardened,148,35.19,10.55,54.26,34.7,10.53,54.78
Butterfly Knife,Case Hardened,584,28.02,15.85,56.13,27.89,15.97,56.14
Butterfly Knife,Case Hardened,485,31.22,23.88,44.9,31.16,23.75,45.09
Butterfly Knife,Case Hardened,440,10.46,11.01,78.52,9.6,9.96,80.44
Butterfly Knife,Case Hardened,720,48.69,5.01,46.29,47.35,4.46,48.19
Butterfly Knife,Case Hardened,577,33.68,20.22,46.1,33.16,18.22,48.61
Butterfly Knife,Case Hardened,615,50.41,21.14,28.45,49.68,20.47,29.85
