weapon,skin,wear,float,pattern,stattrak,price,phase,fade_seed,fade_percentage,fade_rank,fade_type,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
AWP,Fade,Factory New,0.0295984915626689,217,0,972.18,,217,94.26994,291,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0041494215838611,878,0,455.0,,878,83.78457,803,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0158580131828784,27,0,2267.0,,27,96.9359,157,fade,4,1656.14,414.035,538.04,0.7305425672695193,Sticker | Natus Vincere (Holo) | DreamHack 2014,398.82,Sticker | Cloud9 (Holo) | DreamHack 2014,538.04,Sticker | Fnatic (Holo) | DreamHack 2014,419.93,Sticker | Virtus.Pro (Holo) | DreamHack 2014,299.35,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.022503209210782422,27,0,1349.92,,27,96.9359,157,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.01360758076348189,27,0,1282.26,,27,96.9359,157,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0225032092107824,27,0,1349.92,,27,96.9359,157,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0136075807634818,27,0,1282.26,,27,96.9359,157,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0001786934153642,635,0,1274.6,,635,88.236305,588,fade,5,0.84,0.1679999999999999,0.55,0.0006590302840106,Sticker | m0NESY (Glitter) | Paris 2023,0.14,Sticker | s1mple (Glitter) | Paris 2023,0.55,Sticker | Vitality (Glitter) | Paris 2023,0.02,"Sticker | ZywOo (Glitter, Champion) | Paris 2023",0.03,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.00382860349486371,635,0,1227.87,,635,88.236305,588,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0,635,0,1211.01,,635,88.236305,588,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
